timestamp,reciclador_id,dia,distancia_vertedero_m,lat,lon,CH4_ppm,H2S_ppb,temperatura_c
2026-05-01 08:00:00,REC_01,1,330.9,-0.382463,-78.313668,6.301,41.01,16.3
2026-05-01 08:05:00,REC_01,1,330.9,-0.380449,-78.314251,6.771,17.55,13.4
2026-05-01 08:10:00,REC_01,1,330.9,-0.385188,-78.314907,6.628,21.34,25.7
2026-05-01 08:15:00,REC_01,1,330.9,-0.380458,-78.315827,7.506,33.65,16.1
2026-05-01 08:20:00,REC_01,1,330.9,-0.383988,-78.315532,6.764,38.41,14.2
2026-05-01 08:25:00,REC_01,1,330.9,-0.380655,-78.319727,8.065,40.2,13.3
2026-05-01 08:30:00,REC_01,1,330.9,-0.386692,-78.316297,6.114,31.41,19.7
2026-05-01 08:35:00,REC_01,1,330.9,-0.38517,-78.321224,7.901,36.8,21.3
2026-05-01 08:40:00,REC_01,1,330.9,-0.380796,-78.31581,8.135,31.27,14.9
2026-05-01 08:45:00,REC_01,1,330.9,-0.382285,-78.306583,7.13,,15.2
2026-05-01 08:50:00,REC_01,1,330.9,-0.380589,-78.316643,6.056,46.79,16.4
2026-05-01 08:55:00,REC_01,1,330.9,-0.384581,-78.315196,5.995,36.76,21.5
2026-05-01 09:00:00,REC_01,1,330.9,-0.384228,-78.314681,8.288,39.86,17.2
2026-05-01 09:05:00,REC_01,1,330.9,-0.382263,-78.317887,6.897,17.21,17.1
2026-05-01 09:10:00,REC_01,1,330.9,-0.386129,-78.312488,7.363,22.28,17.9
2026-05-01 09:15:00,REC_01,1,330.9,-0.384598,-78.318678,5.852,39.27,18.0
2026-05-01 09:20:00,REC_01,1,330.9,-0.382281,-78.316722,6.731,35.08,20.3
2026-05-01 09:25:00,REC_01,1,330.9,-0.379148,-78.312484,6.271,32.04,22.2
2026-05-01 09:30:00,REC_01,1,330.9,-0.37818,-78.314079,6.796,45.84,18.0
2026-05-01 09:35:00,REC_01,1,330.9,-0.386044,-78.314838,6.899,42.75,17.5
2026-05-01 09:40:00,REC_01,1,330.9,-0.380168,-78.315121,6.906,42.9,22.1
2026-05-01 09:45:00,REC_01,1,330.9,-0.379728,-78.312802,9.222,26.93,15.4
2026-05-01 09:50:00,REC_01,1,330.9,-0.382621,-78.314158,7.685,48.19,18.5
2026-05-01 09:55:00,REC_01,1,330.9,-0.386163,-78.318954,6.217,44.33,14.6
2026-05-01 10:00:00,REC_01,1,330.9,-0.385903,-78.316262,7.531,45.98,13.9
2026-05-01 10:05:00,REC_01,1,330.9,-0.384019,-78.313072,6.574,45.48,19.6
2026-05-01 10:10:00,REC_01,1,330.9,-0.386189,-78.313768,6.066,38.18,18.1
2026-05-01 10:15:00,REC_01,1,330.9,-0.381079,-78.318057,7.081,37.46,20.3
2026-05-01 10:20:00,REC_01,1,330.9,-0.38117,-78.316423,6.45,34.35,19.9
2026-05-01 10:25:00,REC_01,1,330.9,-0.383146,-78.314083,8.601,46.91,21.2
2026-05-01 10:30:00,REC_01,1,330.9,-0.382387,-78.315928,7.915,33.62,18.1
2026-05-01 10:35:00,REC_01,1,330.9,-0.380335,-78.316003,7.888,49.1,18.5
2026-05-01 10:40:00,REC_01,1,330.9,-0.383419,-78.318304,7.323,31.61,12.6
2026-05-01 10:45:00,REC_01,1,330.9,-0.384304,-78.312019,7.477,31.31,18.4
2026-05-01 10:50:00,REC_01,1,330.9,-0.37921,-78.314214,9.102,53.2,18.0
2026-05-01 10:55:00,REC_01,1,330.9,-0.388307,-78.319015,7.545,34.9,23.0
2026-05-01 11:00:00,REC_01,1,330.9,-0.380464,-78.312901,7.445,25.56,19.1
2026-05-01 11:05:00,REC_01,1,330.9,-0.38714,-78.317412,8.512,32.61,23.6
2026-05-01 11:10:00,REC_01,1,330.9,-0.389285,-78.320601,6.155,37.61,22.6
2026-05-01 11:15:00,REC_01,1,330.9,-0.376256,-78.315485,8.25,38.92,20.7
2026-05-01 11:20:00,REC_01,1,330.9,-0.381359,-78.316322,7.029,38.94,12.3
2026-05-01 11:25:00,REC_01,1,330.9,-0.383087,-78.315382,8.215,43.95,17.7
2026-05-01 11:30:00,REC_01,1,330.9,-0.380645,-78.318094,6.802,40.12,16.1
2026-05-01 11:35:00,REC_01,1,330.9,-0.381556,-78.318589,6.907,41.35,20.6
2026-05-01 11:40:00,REC_01,1,330.9,-0.385308,-78.313214,5.761,28.69,22.7
2026-05-01 11:45:00,REC_01,1,330.9,-0.380507,-78.31827,6.839,38.55,20.8
2026-05-01 11:50:00,REC_01,1,330.9,-0.377563,-78.313504,6.974,33.55,12.6
2026-05-01 11:55:00,REC_01,1,330.9,-0.381299,-78.318797,6.834,44.62,18.0
